date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:47	93033/93033	---MCZ	200	added ('OK')	text/html	etag:W/%226d95c60b50cd4e33b34e94dfcb1f8dd7%22	https://shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl06-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl06-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:48	14852/14852	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1e086e00%22	http://product.hstatic.net/1000253446/product/upload_1dcc81b4f50149edb56aab543534fdc9_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_1dcc81b4f50149edb56aab543534fdc9_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:48	93688/93688	---MCZ	200	added ('OK')	text/html	etag:W/%22b6f4dfc993ac4b969e0409177c5dd345%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl06-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl06-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:50	11123/11123	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e36788880%22	http://product.hstatic.net/1000253446/product/upload_d22320ed5ecf4a848cfad159806668e8_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_d22320ed5ecf4a848cfad159806668e8_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:50	93688/93688	---MCZ	200	added ('OK')	text/html	etag:W/%22621c181ac6ce4ea095a70bdc2f9cb782%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl02-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl02-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:50	96930/96930	---MCZ	200	added ('OK')	text/html	etag:W/%222e8fa71b160d4ed79ef18cc12d7c5940%22	https://shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl06-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl06-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:52	97241/97241	---MCZ	200	added ('OK')	text/html	etag:W/%227ac99da0c21d4ee29c2604d149240674%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl06-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl06-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:52	96943/96943	---MCZ	200	added ('OK')	text/html	etag:W/%22229cb7cc835d4506b7a6624dd9a2248f%22	https://shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl09-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl09-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:54	97254/97254	---MCZ	200	added ('OK')	text/html	etag:W/%220dd8b97fe31242ef954e0f97e62eff9b%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl09-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-trang-tri-dien-quang-dq-dl09-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:54	94476/94476	---MCZ	200	added ('OK')	text/html	etag:W/%229c9479f09b4b4756ae5ce7574877b900%22	https://shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl02-c-b-kieu-gom-su-co-bong-123456789	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-trang-tri-dien-quang-dq-dl02-c-b-kieu-gom-su-co-bong-123456789.html	(from https://shop.dienquang.com/collections/den-trang-tri)
